"brand","store","week","sales_","count","price_","prom_","cost_","brand_name","size","avoutprice"
1,103,6,28,22391,3.31,0,2.08,"Tylenol 25",25,0.0053942
1,103,7,28,22293,3.32,0,2.1,"Tylenol 25",25,0.0047965
1,103,8,28,22293,3.32,0,2.1,"Tylenol 25",25,0.0050554
1,103,9,28,22293,3.32,0,2.1,"Tylenol 25",25,0.0045557
1,104,1,10,12868,3.37,0,2.15,"Tylenol 25",25,0.0022315
1,104,10,10,14894,3.34,0,2.14,"Tylenol 25",25,0.0028934
1,104,11,15,12495,3.32,0,2.14,"Tylenol 25",25,0.0049552
1,104,12,15,12495,3.32,0,2.14,"Tylenol 25",25,0.0014444
1,104,13,15,12495,3.32,0,2.14,"Tylenol 25",25,0.0041019
1,104,14,15,12495,3.32,0,2.14,"Tylenol 25",25,0.0030493
1,104,15,15,12495,3.32,0,2.14,"Tylenol 25",25,0.0008118
1,104,16,6,14580,3.53,0,2.23,"Tylenol 25",25,0.0060496
1,104,17,13,14672,3.55,0,2.27,"Tylenol 25",25,0.0009099
1,104,18,10,14116,3.56,0,2.29,"Tylenol 25",25,0.0064006
1,104,19,18,14565,2.33,0.78,1.49,"Tylenol 25",25,0.0037818
1,104,2,12,12498,3.31,0,2.09,"Tylenol 25",25,0.001976
1,104,20,20,14543,3.5,0,2.23,"Tylenol 25",25,0.0011003
1,104,21,18,17532,3.51,0,2.25,"Tylenol 25",25,0.000845
1,104,22,16,14035,3.51,0,2.24,"Tylenol 25",25,0.0039029
1,104,23,14,14226,3.52,0,2.23,"Tylenol 25",25,0.0008253
1,104,24,14,14757,3.52,0,2.22,"Tylenol 25",25,0.003836
1,104,25,17,14014,3.52,0,2.26,"Tylenol 25",25,0.0022868
1,104,26,15,13882,3.52,0,2.24,"Tylenol 25",25,0.0064697
1,104,27,13,13183,3.56,0,2.28,"Tylenol 25",25,0.0039167
1,104,28,12,14344,3.54,0,2.29,"Tylenol 25",25,0.0057523
1,104,29,16,14233,3.51,0,2.23,"Tylenol 25",25,0.0036458
1,104,3,20,11968,3.34,0,2.12,"Tylenol 25",25,0.0037838
1,104,30,16,14543,3.51,0,2.24,"Tylenol 25",25,0.0055842
1,104,31,15,12967,3.54,0,2.27,"Tylenol 25",25,0.0056646
1,104,32,10,12651,3.47,0,2.2,"Tylenol 25",25,0.0062857
1,104,33,14,13322,3.56,0,2.29,"Tylenol 25",25,0.0027315
1,104,34,12,14875,3.5,0,2.25,"Tylenol 25",25,0.0028249
1,104,35,8,12862,3.55,0,2.29,"Tylenol 25",25,0.0065
1,104,36,10,13080,3.53,0,2.25,"Tylenol 25",25,0.0043224
1,104,37,16,13468,3.47,0,2.2,"Tylenol 25",25,0.0056124
1,104,38,18,14182,2.96,0.78,1.89,"Tylenol 25",25,0.0019729
1,104,39,14,12752,3.5,0,2.24,"Tylenol 25",25,0.0002755
1,104,4,12,12952,3.27,0,2.04,"Tylenol 25",25,0.0003401
1,104,40,12,12178,3.51,0,2.23,"Tylenol 25",25,0.0037587
1,104,41,19,18464,3.5,0,2.23,"Tylenol 25",25,0.0060538
1,104,42,12,11456,3.46,0,2.19,"Tylenol 25",25,0.0058716
1,104,43,16,14517,3.49,0,2.24,"Tylenol 25",25,0.0058685
1,104,44,8,13528,3.53,0,2.27,"Tylenol 25",25,0.001374
1,104,45,10,14562,3.51,0,2.25,"Tylenol 25",25,0.0002774
1,104,46,14,15168,3.47,0,2.2,"Tylenol 25",25,0.0039553
1,104,47,14,12983,3.58,0,2.31,"Tylenol 25",25,0.0004639
1,104,48,13,13897,3.55,0,2.27,"Tylenol 25",25,0.0064307
1,104,5,14,13329,3.3,0,2.07,"Tylenol 25",25,0.0040241
1,104,6,9,13082,3.25,0,2.01,"Tylenol 25",25,0.0005116
1,104,7,10,12288,3.36,0,2.14,"Tylenol 25",25,0.0031702
1,104,8,18,12623,3.27,0,2.04,"Tylenol 25",25,0.0015398
1,104,9,5,14907,3.41,0,2.22,"Tylenol 25",25,0.0048107
1,105,1,19,24024,3.3,0,2.08,"Tylenol 25",25,0.0042026
1,105,10,20,25107,2.94,0,2.06,"Tylenol 25",25,0.0025584
1,105,11,24,22959,3.19,0,2.1,"Tylenol 25",25,0.003335
1,105,12,22,24209,3.24,0,2.14,"Tylenol 25",25,0.0028124
1,105,13,22,24209,3.24,0,2.14,"Tylenol 25",25,0.0054536
1,105,14,22,24209,3.24,0,2.14,"Tylenol 25",25,0.0022466
1,105,15,22,24330,3.53,0,2.23,"Tylenol 25",25,0.0003671
1,105,16,28,25886,3.55,0,2.26,"Tylenol 25",25,0.0026594
1,105,17,19,24967,3.53,0,2.26,"Tylenol 25",25,0.0057551
1,105,18,29,24931,3.57,0,2.28,"Tylenol 25",25,0.0036577
1,105,19,19,24899,3.59,0.79,2.33,"Tylenol 25",25,0.0015367
1,105,2,23,24805,3.32,0,2.1,"Tylenol 25",25,0.0047114
1,105,20,20,24147,3.52,0,2.25,"Tylenol 25",25,0.0052069
1,105,21,31,29484,3.52,0,2.24,"Tylenol 25",25,0.0054064
1,105,22,18,24010,3.54,0,2.25,"Tylenol 25",25,0.0015432
1,105,23,23,24044,3.56,0,2.26,"Tylenol 25",25,0.0006421
1,105,24,22,24864,3.55,0,2.28,"Tylenol 25",25,0.0021015
1,105,25,26,24354,3.58,0,2.31,"Tylenol 25",25,0.0036466
1,105,26,28,24244,3.55,0,2.28,"Tylenol 25",25,0.0007293
1,105,27,24,23725,3.53,0,2.27,"Tylenol 25",25,0.0036416
1,105,28,31,24484,3.57,0,2.29,"Tylenol 25",25,0.0010043
1,105,29,23,24907,3.57,0,2.31,"Tylenol 25",25,0.0035532
1,105,3,32,22193,3.35,0,2.13,"Tylenol 25",25,0.0041305
1,105,30,33,26753,3.56,0,2.29,"Tylenol 25",25,0.0034779
1,105,31,26,23213,3.53,0,2.27,"Tylenol 25",25,0.0043876
1,105,32,20,23491,3.54,0,2.29,"Tylenol 25",25,0.0046478
1,105,33,24,24564,3.56,0,2.31,"Tylenol 25",25,0.0017298
1,105,34,16,25270,3.47,0,2.21,"Tylenol 25",25,0.000275
1,105,35,25,22938,3.59,0,2.33,"Tylenol 25",25,0.0025683
1,105,36,11,22921,3.6,0,2.33,"Tylenol 25",25,0.0056096
1,105,37,15,23153,3.55,0,2.3,"Tylenol 25",25,0.0035911
1,105,38,26,23328,3.52,0.85,2.27,"Tylenol 25",25,0.000665
1,105,39,10,22497,3.45,0,2.19,"Tylenol 25",25,0.0065926
1,105,4,32,22193,3.35,0,2.13,"Tylenol 25",25,0.0011143
1,105,40,28,21471,3.58,0,2.31,"Tylenol 25",25,0.0047555
1,105,41,20,28687,3.54,0,2.28,"Tylenol 25",25,0.0012781
1,105,42,23,20578,3.51,0,2.23,"Tylenol 25",25,0.0049537
1,105,43,26,25651,3.56,0,2.31,"Tylenol 25",25,0.0063296
1,105,44,22,23637,3.5,0,2.23,"Tylenol 25",25,0.0019246
1,105,45,25,24817,3.52,0,2.24,"Tylenol 25",25,0.0025686
1,105,46,21,24849,3.6,0,2.33,"Tylenol 25",25,0.0061635
1,105,47,22,22760,3.53,0,2.25,"Tylenol 25",25,0.0051374
1,105,48,26,24565,3.51,0,2.24,"Tylenol 25",25,0.0008326
1,105,5,12,22680,3.34,0,2.13,"Tylenol 25",25,0.0013725
1,105,6,12,22680,3.34,0,2.13,"Tylenol 25",25,0.0035091
1,105,7,25,23390,3.37,0,2.15,"Tylenol 25",25,0.005909
1,105,8,24,23884,3.31,0,2.09,"Tylenol 25",25,0.0013683
1,105,9,18,25993,3.3,0,2.1,"Tylenol 25",25,0.0037828
1,106,1,12,11931,3.27,0,2.04,"Tylenol 25",25,0.0039475
1,106,10,15,13506,3.34,0,2.14,"Tylenol 25",25,0.00298
1,106,11,14,11686,3.27,0,2.09,"Tylenol 25",25,0.0045282
1,106,12,1,12393,3.45,0,2.2,"Tylenol 25",25,0.0055447
1,106,13,1,12393,3.45,0,2.2,"Tylenol 25",25,0.0057077
1,106,14,1,12393,3.45,0,2.2,"Tylenol 25",25,0.0039527
1,106,15,1,12393,3.45,0,2.2,"Tylenol 25",25,0.0029401
1,106,16,15,13724,3.49,0,2.19,"Tylenol 25",25,0.001833
1,106,17,10,11779,3.5,0,2.22,"Tylenol 25",25,0.0064819
1,106,18,13,12740,3.53,0,2.24,"Tylenol 25",25,0.0013759
1,106,19,18,13287,3.15,0.78,2.01,"Tylenol 25",25,0.0030226
1,106,2,12,11931,3.27,0,2.04,"Tylenol 25",25,0.000947
1,106,20,17,12845,3.49,0,2.22,"Tylenol 25",25,0.0053909
1,106,21,11,15634,3.6,0,2.31,"Tylenol 25",25,0.0005687
1,106,22,13,12654,3.55,0,2.26,"Tylenol 25",25,0.0051794
1,106,23,14,12718,3.49,0,2.19,"Tylenol 25",25,0.0056724
1,106,24,9,13332,3.48,0,2.18,"Tylenol 25",25,0.001277
1,106,25,9,13332,3.48,0,2.18,"Tylenol 25",25,0.0008212
1,106,26,12,12593,3.48,0,2.2,"Tylenol 25",25,0.0043704
1,106,27,10,12769,3.5,0,2.21,"Tylenol 25",25,0.0018206
1,106,28,13,13269,3.55,0,2.27,"Tylenol 25",25,0.0065758
1,106,29,11,13026,3.48,0,2.21,"Tylenol 25",25,0.0043738
1,106,3,14,11505,3.3,0,2.07,"Tylenol 25",25,0.001804
1,106,30,16,13618,3.51,0,2.24,"Tylenol 25",25,0.0056752
1,106,31,10,11273,3.59,0,2.32,"Tylenol 25",25,0.0029258
1,106,32,11,11383,3.45,0,2.18,"Tylenol 25",25,0.0011878
1,106,33,5,11930,3.5,0,2.22,"Tylenol 25",25,0.0038285
1,106,34,14,13605,3.52,0,2.25,"Tylenol 25",25,0.0063705
1,106,35,11,11439,3.54,0,2.29,"Tylenol 25",25,0.0034769
1,106,36,9,11337,3.61,0,2.34,"Tylenol 25",25,0.0046888
1,106,37,6,11678,3.51,0,2.26,"Tylenol 25",25,0.0020232
1,106,38,18,12570,2.57,0.78,1.65,"Tylenol 25",25,0.0011182
1,106,39,9,10969,3.53,0,2.27,"Tylenol 25",25,0.0010082
1,106,4,20,12135,3.28,0,2.04,"Tylenol 25",25,0.0024876
1,106,40,6,10718,3.48,0,2.2,"Tylenol 25",25,0.0039413
1,106,41,13,15984,3.58,0,2.3,"Tylenol 25",25,0.0033923
1,106,42,11,10731,3.56,0,2.3,"Tylenol 25",25,0.0025712
1,106,43,15,12852,3.51,0,2.25,"Tylenol 25",25,0.0057774
1,106,44,9,12328,3.5,0,2.23,"Tylenol 25",25,0.0062242
1,106,45,10,12785,3.56,0,2.27,"Tylenol 25",25,0.003665
1,106,46,17,13901,3.53,0,2.26,"Tylenol 25",25,0.0051542
1,106,47,15,11716,3.54,0,2.28,"Tylenol 25",25,0.0011047
1,106,48,7,11657,3.63,0,2.36,"Tylenol 25",25,0.0022964
1,106,5,23,12327,3.3,0,2.07,"Tylenol 25",25,0.0054793
1,106,6,6,12719,3.28,0,2.05,"Tylenol 25",25,0.0002571
1,106,7,13,12001,3.29,0,2.06,"Tylenol 25",25,0.001111
1,106,8,13,12001,3.29,0,2.06,"Tylenol 25",25,0.0027406
1,106,9,15,13506,3.34,0,2.14,"Tylenol 25",25,0.0018042
1,107,1,17,19679,3.25,0,2.02,"Tylenol 25",25,0.0044566
1,107,10,12,21294,3.31,0,2.12,"Tylenol 25",25,0.0018766
1,107,11,12,21294,3.31,0,2.12,"Tylenol 25",25,0.0053805
1,107,12,12,21294,3.31,0,2.12,"Tylenol 25",25,0.0027266
1,107,13,12,21294,3.31,0,2.12,"Tylenol 25",25,0.001799
1,107,14,12,21294,3.31,0,2.12,"Tylenol 25",25,0.0056584
1,107,15,12,21294,3.31,0,2.12,"Tylenol 25",25,0.0014304
1,107,16,13,22111,3.58,0,2.3,"Tylenol 25",25,0.0027515
1,107,17,13,22054,3.51,0,2.25,"Tylenol 25",25,0.0045733
1,107,18,8,21247,3.52,0,2.25,"Tylenol 25",25,0.0055779
1,107,19,18,21857,3.11,0.78,2,"Tylenol 25",25,0.0012783
1,107,2,19,18662,3.27,0,2.04,"Tylenol 25",25,0.004283
1,107,20,15,21454,3.46,0,2.19,"Tylenol 25",25,0.0055727
1,107,21,18,24836,3.44,0,2.18,"Tylenol 25",25,0
1,107,22,24,21770,3.46,0,2.18,"Tylenol 25",25,0.0045422
1,107,23,22,21162,3.49,0,2.19,"Tylenol 25",25,0.0057629
1,107,24,14,22466,3.52,0,2.24,"Tylenol 25",25,0
1,107,25,19,22162,3.51,0,2.25,"Tylenol 25",25,0.0051068
1,107,26,10,21462,3.47,0,2.21,"Tylenol 25",25,0.0024601
1,107,27,19,21221,3.52,0,2.25,"Tylenol 25",25,0.0060141
1,107,28,16,21644,3.49,0,2.23,"Tylenol 25",25,0.0058441
1,107,29,15,22196,3.48,0,2.23,"Tylenol 25",25,0.0002758
1,107,3,17,18702,3.28,0,2.05,"Tylenol 25",25,0.0058475
1,107,30,17,22487,3.52,0,2.27,"Tylenol 25",25,0.0063129
1,107,31,11,20622,3.61,0,2.37,"Tylenol 25",25,0.0020092
1,107,32,18,20486,3.48,0,2.23,"Tylenol 25",25,0.0036466
1,107,33,14,21176,3.54,0,2.27,"Tylenol 25",25,0.003555
1,107,34,22,22581,3.54,0,2.29,"Tylenol 25",25,0.0006385
1,107,35,13,20280,3.49,0,2.22,"Tylenol 25",25,0.0029326
